               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,             0.08049,             0.16307,            0.029458,            0.080319,             0.26626,             0.14515,            0.038727,            0.071334,             0.11435,             0.03083,           0.0081982,           0.0081982,           0.0081982
                  93,            0.081243,             0.17362,            0.030842,             0.37072,             0.24472,             0.13263,            0.032994,            0.073537,             0.11204,            0.030962,           0.0081784,           0.0081784,           0.0081784
                  94,            0.079996,             0.16624,            0.031288,             0.41551,             0.23106,             0.11364,            0.026842,            0.072352,             0.11643,            0.030541,           0.0081586,           0.0081586,           0.0081586
                  95,             0.08091,             0.18886,            0.032445,            0.094555,              0.1759,            0.090732,            0.024156,            0.072253,             0.11511,            0.033374,           0.0081388,           0.0081388,           0.0081388
                  96,            0.080728,             0.17114,            0.031032,            0.067939,             0.25304,            0.091602,            0.024661,            0.072335,             0.11425,            0.031995,            0.008119,            0.008119,            0.008119
                  97,            0.080314,             0.16781,            0.032598,            0.099848,             0.26083,             0.14178,            0.038145,            0.067757,             0.11468,            0.030638,           0.0080992,           0.0080992,           0.0080992
                  98,              0.0806,             0.15551,            0.033023,             0.37921,             0.22583,             0.15736,            0.040487,            0.067574,             0.11339,            0.030994,           0.0080794,           0.0080794,           0.0080794
                  99,            0.077215,             0.16151,              0.0324,             0.35873,              0.1877,             0.13184,            0.035207,            0.068314,             0.11387,            0.032757,           0.0080596,           0.0080596,           0.0080596
                 100,            0.079117,             0.15782,               0.032,            0.098857,             0.18086,             0.13268,             0.03569,            0.068159,              0.1146,            0.032492,           0.0080398,           0.0080398,           0.0080398
                 101,            0.078695,             0.16143,             0.03096,             0.14342,             0.18698,             0.14009,            0.035506,            0.071166,             0.10964,            0.033108,             0.00802,             0.00802,             0.00802
                 102,            0.079021,             0.17635,            0.032547,             0.37323,             0.24461,             0.10102,              0.0239,            0.072872,             0.11486,            0.031429,           0.0080002,           0.0080002,           0.0080002
                 103,            0.078023,             0.17791,            0.031536,             0.44742,             0.24649,             0.18481,            0.052175,            0.065567,             0.11742,             0.02924,           0.0079804,           0.0079804,           0.0079804
                 104,            0.078563,             0.16434,            0.031962,             0.18309,             0.30495,             0.17533,            0.050394,            0.065998,             0.11299,            0.029049,           0.0079606,           0.0079606,           0.0079606
                 105,            0.076055,             0.15403,            0.032526,            0.093769,             0.22382,              0.1143,            0.030397,             0.06908,             0.10926,             0.02991,           0.0079408,           0.0079408,           0.0079408
                 106,            0.079283,             0.16499,            0.030817,             0.66296,             0.15122,             0.17326,            0.046914,            0.067292,             0.11055,            0.028963,            0.007921,            0.007921,            0.007921
                 107,            0.078549,             0.18214,            0.031869,             0.52597,             0.25494,             0.15256,            0.047343,            0.066969,             0.11507,            0.027685,           0.0079012,           0.0079012,           0.0079012
                 108,            0.077495,             0.17766,            0.031844,             0.62795,             0.20286,             0.14651,            0.044043,            0.064755,              0.1158,            0.029272,           0.0078814,           0.0078814,           0.0078814
